"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"ILMN_1651373",-1.590131677,7.06290776085294,-5.02561848421816,1.475933320005e-05,0.00217587515584413,3.06622672250092,"RHD","Rh blood group D antigen"
"ILMN_1651385",-1.12681084288236,8.13624133932353,-4.9702922322499,1.74466843271395e-05,0.00237933556891419,2.91044238623844,"MFN2","mitofusin 2"
"ILMN_1651433",-0.884278398294122,8.16806213791176,-4.1202594530526,0.000219397030659712,0.0138433675758794,0.558588377352969,"DCK","deoxycytidine kinase"
"ILMN_1651705",-1.06886071764706,9.9023506157647,-4.07735515744402,0.000248621427668941,0.0151538307131545,0.442916540580369,"CAT","catalase"
"ILMN_1652431",-2.45979333664706,11.5257079092647,-5.02054044844644,1.49877994503291e-05,0.00217741223001205,3.05192004732697,"CA1","carbonic anhydrase 1"
"ILMN_1652472",-0.580469465764709,6.21554492117647,-4.15896279013543,0.000195936313445614,0.012736667803828,0.663258002953367,"BRAF","B-Raf proto-oncogene, serine/threonine kinase"
"ILMN_1653026",0.691885544058822,10.4631645409118,3.65536341248164,0.000833142423712632,0.0375493323022408,-0.671518480493761,"PLAC8","placenta associated 8"
"ILMN_1653404",-0.591976652588238,7.27625740629412,-4.08139354847485,0.000245715855341152,0.0151013135354667,0.453787752148653,"NKIRAS2","NFKB inhibitor interacting Ras like 2"
"ILMN_1653496",-0.803796838529416,6.98414304961765,-5.71783762097087,1.80300968395332e-06,0.000717006951880023,5.02470692902646,"GLUL","glutamate-ammonia ligase"
"ILMN_1653646",-0.84088256182353,6.82762670220588,-4.64244017837236,4.6784936393036e-05,0.00465126795152866,1.99244354274817,"UBL7","ubiquitin like 7"
"ILMN_1653797",-0.631029734058828,10.5804166994412,-4.06401390178677,0.000258461066642523,0.0155810866964639,0.407027063842833,"C6orf62","chromosome 6 open reading frame 62"
"ILMN_1653814",-1.47684736647059,7.68667115964706,-3.90350184883608,0.000411140314208817,0.0221095376014817,-0.0216344510670332,"HBBP1","hemoglobin subunit beta pseudogene 1"
"ILMN_1654032",-0.971552617294122,7.36057928029412,-4.21155622290748,0.000167953341428052,0.0114032366949781,0.805964563422167,"ZER1","zyg-11 related cell cycle regulator"
"ILMN_1654060",-0.634597965941177,8.0264613567353,-4.39290072004427,9.83856034086636e-05,0.00768926128277946,1.30185233845593,"MKNK2","MAPK interacting serine/threonine kinase 2"
"ILMN_1654118",-1.43730394876471,12.4383354962059,-5.10307136998178,1.16744492025159e-05,0.00189852219797478,3.28462781084978,"BCL2L1","BCL2 like 1"
"ILMN_1654441",-0.975394527000002,7.81540050597059,-3.87884366382315,0.000441316853128849,0.0233085239292595,-0.0869442861901017,"OAT","ornithine aminotransferase"
"ILMN_1654851",-1.06450130458824,8.29152425170588,-4.88283200187208,2.27180381394286e-05,0.00288329908007614,2.66461911258761,"RETREG2","reticulophagy regulator family member 2"
"ILMN_1654861",-0.556170442705888,7.52873235941177,-4.59030705964036,5.46787730321365e-05,0.00516521370456946,1.84748673173518,"ACO2","aconitase 2"
"ILMN_1655525",-0.933321302235298,7.21150609429412,-3.51693896202206,0.00122705335758107,0.0496730932769965,-1.02630742300227,"FLCN","folliculin"
