"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000422","autophagy of mitochondrion","26/708","113/18842",0.230088495575221,6.12334383280836,10.7933740406559,6.76338889053533e-14,2.11361591871653e-10,2.11361591871653e-10,"SKP1/FKBP8/ATG4A/ATG14/WIPI2/EIF2AK1/GABARAPL2/CISD2/SQSTM1/TIMM23/BECN1/RBX1/UBXN6/ATG9A/OPTN/FBXO7/HDAC6/GABARAPL1/ATG2A/PINK1/BNIP3L/WDR45/MAP1LC3B/ULK1/MFN2/GABARAP",26
"GO:0010506","regulation of autophagy","47/708","358/18842",0.131284916201117,3.49388473313764,9.41329584154751,7.18916979155284e-14,2.11361591871653e-10,2.11361591871653e-10,"SKP1/RRAGB/CAPN1/ORMDL3/FKBP8/FLCN/ATG14/SNCA/FOXO3/EIF2AK1/CUL4A/LEPR/DAP/CISD2/UBQLN1/SQSTM1/BECN1/BCL2L1/RRAGA/SESN3/WAC/STK11/RBX1/OPTN/ATP6V1D/FBXO7/PIK3R2/HDAC6/DDB1/WNK1/IKBKG/USP33/HMGB1/ATG2A/MCL1/SLC7A5/NPRL3/PINK1/BNIP3L/WDR45/RMC1/CSNK2A1/PIP4K2A/DCAF12/TRIM23/ATP6V0C/ULK1",47
"GO:0016236","macroautophagy","47/708","369/18842",0.127371273712737,3.38973098770536,9.16041777972907,2.22875695043221e-13,4.36836362284714e-10,4.36836362284714e-10,"SKP1/YOD1/CAPN1/RAB2B/FKBP8/ATG4A/CHMP3/ATG14/SEC62/WIPI2/EIF2AK1/ILRUN/GABARAPL2/UBQLN1/SQSTM1/TIMM23/BECN1/VPS28/SESN3/WAC/RBX1/UBXN6/ATG9A/OPTN/ATP6V1D/ZFYVE1/VTI1B/FBXO7/HDAC6/IKBKG/USP33/GABARAPL1/IFT20/RETREG2/ATG2A/WDR81/PINK1/BNIP3L/WDR45/CSNK2A1/PIP4K2A/TSG101/MAP1LC3B/ATP6V0C/ULK1/MFN2/GABARAP",47
"GO:0000423","mitophagy","22/708","95/18842",0.231578947368421,6.16300921796016,9.96828878834454,4.99995153921327e-12,7.3499287626435e-09,7.3499287626435e-09,"SKP1/FKBP8/ATG4A/ATG14/EIF2AK1/GABARAPL2/SQSTM1/TIMM23/BECN1/RBX1/UBXN6/ATG9A/OPTN/FBXO7/HDAC6/GABARAPL1/PINK1/BNIP3L/MAP1LC3B/ULK1/MFN2/GABARAP",22
"GO:0002262","myeloid cell homeostasis","25/708","128/18842",0.1953125,5.19785045903955,9.41608637597532,1.01086226673183e-11,1.18877402567663e-08,1.18877402567663e-08,"ABCB10/GLUL/HBD/HBQ1/FOXO3/GATA1/PLEK2/FCAR/SOD1/SMIM1/HBM/HBA2/HBA1/DYRK3/ANXA1/DMTN/TSPO2/SLC1A5/AHSP/ALAS2/HMGB1/TRIM58/EPB42/MIMS2/KLF1",25
"GO:0048821","erythrocyte development","13/708","34/18842",0.382352941176471,10.1755566633433,10.5808941536354,1.19498363583461e-10,1.17108396311792e-07,1.17108396311792e-07,"ABCB10/HBD/HBQ1/GATA1/PLEK2/SMIM1/HBM/HBA2/HBA1/DMTN/TRIM58/EPB42/MIMS2",13
"GO:0006783","heme biosynthetic process","12/708","29/18842",0.413793103448276,11.0122735242548,10.6616513072121,2.08387424063682e-10,1.75045436213493e-07,1.75045436213493e-07,"SLC25A39/ABCB10/PPOX/HMBS/ALAD/UROD/SLC6A9/UROS/SRRD/FECH/ALAS2/TMEM14B",12
"GO:0030218","erythrocyte differentiation","21/708","109/18842",0.192660550458716,5.12727414088011,8.53875783392969,5.98667985296043e-10,4.40020969192592e-07,4.40020969192592e-07,"ABCB10/GLUL/HBD/HBQ1/FOXO3/GATA1/PLEK2/SMIM1/HBM/HBA2/HBA1/DYRK3/DMTN/TSPO2/SLC1A5/AHSP/ALAS2/TRIM58/EPB42/MIMS2/KLF1",21
"GO:0006779","porphyrin-containing compound biosynthetic process","12/708","32/18842",0.375,9.97987288135593,10.0455235975302,8.17258726464245e-10,4.80548131160976e-07,4.80548131160976e-07,"SLC25A39/ABCB10/PPOX/HMBS/ALAD/UROD/SLC6A9/UROS/SRRD/FECH/ALAS2/TMEM14B",12
"GO:0033014","tetrapyrrole biosynthetic process","12/708","32/18842",0.375,9.97987288135593,10.0455235975302,8.17258726464245e-10,4.80548131160976e-07,4.80548131160976e-07,"SLC25A39/ABCB10/PPOX/HMBS/ALAD/UROD/SLC6A9/UROS/SRRD/FECH/ALAS2/TMEM14B",12
"GO:0034101","erythrocyte homeostasis","21/708","112/18842",0.1875,4.98993644067797,8.36811997378833,1.01015719276611e-09,5.39974935769519e-07,5.39974935769519e-07,"ABCB10/GLUL/HBD/HBQ1/FOXO3/GATA1/PLEK2/SMIM1/HBM/HBA2/HBA1/DYRK3/DMTN/TSPO2/SLC1A5/AHSP/ALAS2/TRIM58/EPB42/MIMS2/KLF1",21
"GO:0042168","heme metabolic process","14/708","48/18842",0.291666666666667,7.76212335216573,9.26863743676872,1.45218473553074e-09,7.11570520410063e-07,7.11570520410063e-07,"SLC25A39/ABCB10/PPOX/HMBS/ALAD/UROD/SLC6A9/BLVRB/UROS/SRRD/FECH/ALAS2/TMEM14B/SLC48A1",14
"GO:0048872","homeostasis of number of cells","29/708","214/18842",0.135514018691589,3.60643381382333,7.57691248658796,2.22389284317458e-09,1.00588383983589e-06,1.00588383983589e-06,"ABCB10/GLUL/HBD/HBQ1/FOXO3/GATA1/PLEK2/TMEM63B/PSMB9/FCAR/SOD1/SMIM1/PSMA4/HBM/HBA2/HBA1/DYRK3/PSMA5/ANXA1/DMTN/TSPO2/SLC1A5/AHSP/ALAS2/HMGB1/TRIM58/EPB42/MIMS2/KLF1",29
"GO:0006778","porphyrin-containing compound metabolic process","14/708","51/18842",0.274509803921569,7.30552786086186,8.9095011588654,3.50566989508897e-09,1.47238135593737e-06,1.47238135593737e-06,"SLC25A39/ABCB10/PPOX/HMBS/ALAD/UROD/SLC6A9/BLVRB/UROS/SRRD/FECH/ALAS2/TMEM14B/SLC48A1",14
"GO:0010508","positive regulation of autophagy","24/708","158/18842",0.151898734177215,4.04248015447329,7.58827683123342,5.54347437578994e-09,2.17304195530966e-06,2.17304195530966e-06,"ORMDL3/FLCN/FOXO3/EIF2AK1/SQSTM1/BECN1/SESN3/WAC/STK11/OPTN/FBXO7/HDAC6/IKBKG/USP33/HMGB1/ATG2A/NPRL3/PINK1/BNIP3L/WDR45/CSNK2A1/PIP4K2A/TRIM23/ULK1",24
"GO:0033013","tetrapyrrole metabolic process","14/708","61/18842",0.229508196721311,6.10790034268778,7.89532068527496,4.30978101969285e-08,1.53415976309538e-05,1.53415976309538e-05,"SLC25A39/ABCB10/PPOX/HMBS/ALAD/UROD/SLC6A9/BLVRB/UROS/SRRD/FECH/ALAS2/TMEM14B/SLC48A1",14
"GO:0000209","protein polyubiquitination","31/708","273/18842",0.113553113553114,3.021988369446,6.64947743416709,4.43549591371113e-08,1.53415976309538e-05,1.53415976309538e-05,"SKP1/UBE2H/MKRN1/UBE2D3/IFI27/RNF123/SHARPIN/CDC34/SPSB3/ARIH2/RNF187/MARCHF8/RNF5/UBE2V1/CDC27/RNF14/UBE2O/IL17RA/RBX1/UBE3B/GPS2/RMND5A/FBXO7/PPIA/SYVN1/TRIM58/TRIM56/AMFR/FBXO9/TRIP12/GABARAP",31
"GO:0061515","myeloid cell development","14/708","62/18842",0.225806451612903,6.00938582103153,7.80646345391131,5.37641990126735e-08,1.67732225436608e-05,1.67732225436608e-05,"ABCB10/HBD/HBQ1/GATA1/PLEK2/SMIM1/HBM/HBA2/HBA1/DMTN/TRIM58/EPB42/MIMS2/PIP4K2A",14
"GO:0000045","autophagosome assembly","19/708","115/18842",0.165217391304348,4.39692950135102,7.21976641175548,5.41991884914209e-08,1.67732225436608e-05,1.67732225436608e-05,"ATG4A/ATG14/WIPI2/GABARAPL2/UBQLN1/BECN1/ATG9A/USP33/GABARAPL1/IFT20/RETREG2/ATG2A/PINK1/WDR45/PIP4K2A/MAP1LC3B/ULK1/MFN2/GABARAP",19
