"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031593","polyubiquitin modification-dependent protein binding","17/737","57/18706",0.298245614035088,7.56985407888786,10.0604179376741,3.53003348544903e-11,4.51138279440386e-08,4.51138279440386e-08,"UBAC1/UIMC1/SHARPIN/DNAJB2/BAG6/ZRANB1/UBQLN1/SQSTM1/ASCC2/RAD23A/OPTN/HDAC6/IKBKG/NPLOC4/WDR81/UBL7/MINDY1",17
"GO:0140030","modification-dependent protein binding","17/737","82/18706",0.207317073170732,5.26197173776351,7.83306365861007,1.62797346220353e-08,1.04027504234806e-05,1.04027504234806e-05,"UBAC1/UIMC1/SHARPIN/DNAJB2/BAG6/ZRANB1/UBQLN1/SQSTM1/ASCC2/RAD23A/OPTN/HDAC6/IKBKG/NPLOC4/WDR81/UBL7/MINDY1",17
"GO:0004842","ubiquitin-protein transferase activity","41/737","462/18706",0.0887445887445888,2.25245085082263,5.52042220343932,1.14665916954104e-06,0.000488476806224485,0.000488476806224485,"UBE2H/MKRN1/RNF19A/UBE2D3/RNF123/SHARPIN/CDC34/HECTD4/SIAH2/CUL4A/PCGF5/ARIH2/GID4/RNF187/MARCHF8/RNF5/UBE2M/UBE2V1/HECTD3/RNF14/UBE2O/HERC1/TRIM10/RBX1/UBE3B/RNF10/RNF40/RMND5A/MARCHF3/FBXO7/HDAC6/SYVN1/RNF11/TRIM58/LNX2/TRIM56/AMFR/MARCHF2/TRIM23/FBXO9/TRIP12",41
"GO:0070530","K63-linked polyubiquitin modification-dependent protein binding","8/737","23/18706",0.347826086956522,8.82826971860067,7.60776409917035,1.61944869367287e-06,0.000517413857628483,0.000517413857628483,"UIMC1/ZRANB1/SQSTM1/ASCC2/OPTN/IKBKG/NPLOC4/WDR81",8
"GO:0043130","ubiquitin binding","16/737","102/18706",0.156862745098039,3.98137653976109,6.1145485267114,2.30062733516625e-06,0.000588040346868492,0.000588040346868493,"SHARPIN/ILRUN/DNAJB2/SQSTM1/VPS28/ASCC2/RAD23A/FBXO7/WDR48/HDAC6/IKBKG/NPLOC4/AMFR/UBAP1/TSG101/KLF1",16
"GO:0019787","ubiquitin-like protein transferase activity","42/737","498/18706",0.0843373493975904,2.14058949502215,5.22472651170886,3.1483812149538e-06,0.00067060519878516,0.00067060519878516,"UBE2H/MKRN1/RNF19A/UBE2D3/RNF123/SHARPIN/CDC34/HECTD4/SIAH2/CUL4A/PCGF5/ARIH2/GID4/RNF187/MARCHF8/RNF5/UBE2M/UBE2V1/HECTD3/RNF14/UBE2O/HERC1/TRIM10/RBX1/UBE3B/RNF10/RNF40/RMND5A/MARCHF3/FBXO7/HDAC6/SYVN1/RNF11/TRIM58/LNX2/UBE2F/TRIM56/AMFR/MARCHF2/TRIM23/FBXO9/TRIP12",42
"GO:0032182","ubiquitin-like protein binding","17/737","122/18706",0.139344262295082,3.53673510243121,5.69293311422456,5.92290735213084e-06,0.00108135365657474,0.00108135365657474,"SHARPIN/ILRUN/DNAJB2/SQSTM1/VPS28/ASCC2/RAD23A/FBXO7/WDR48/HDAC6/IKBKG/NPLOC4/AMFR/DCUN1D1/UBAP1/TSG101/KLF1",17
"GO:0016209","antioxidant activity","13/737","76/18706",0.171052631578947,4.34153395700921,5.91148910316236,7.65185743092674e-06,0.00122238422459055,0.00122238422459055,"PRDX6/SOD1/HBA2/HBA1/GPX4/PRDX2/CLIC2/GSR/CLIC1/GPX1/SRXN1/CAT/GPX3",13
"GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","10/737","50/18706",0.2,5.07625508819539,5.84504333564596,2.08538047695279e-05,0.00296124027727297,0.00296124027727297,"PRDX6/HBA2/SESN3/HBA1/GPX4/PRDX2/CLIC2/GPX1/CAT/GPX3",10
"GO:0061630","ubiquitin protein ligase activity","33/737","386/18706",0.0854922279792746,2.16990178640476,4.70360634617778,2.70458297524928e-05,0.00345645704236858,0.00345645704236858,"MKRN1/RNF19A/UBE2D3/RNF123/HECTD4/SIAH2/CUL4A/PCGF5/ARIH2/GID4/RNF187/MARCHF8/RNF5/HECTD3/RNF14/UBE2O/HERC1/TRIM10/RBX1/UBE3B/RNF10/RNF40/RMND5A/MARCHF3/HDAC6/SYVN1/RNF11/TRIM58/TRIM56/AMFR/MARCHF2/TRIM23/TRIP12",33
