"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","23/384","105/9410",0.219047619047619,5.36780753968254,9.28302748487272,2.35721185160774e-11,8.29738571765924e-09,8.29738571765924e-09,"23770/2309/11345/51024/8878/8678/598/7311/8887/79065/10133/7314/4976/23710/65018/665/267/1457/23786/81631/8408/9927/11337",23
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","27/384","169/9410",0.159763313609467,3.91503328402367,7.8870949098317,8.9042155135787e-10,1.56714193038985e-07,1.56714193038985e-07,"10325/115201/6199/22863/26100/11345/8878/8678/598/10670/7311/6794/8887/79065/1508/10133/53349/7314/5296/5728/23710/3146/23130/11152/81631/8408/11337",27
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","32/384","253/9410",0.126482213438735,3.09947299077734,6.98206081482947,9.93153020209043e-09,1.16529954371194e-06,1.16529954371194e-06,"6500/10325/823/7323/3661/6199/3098/22863/2309/81858/26100/7414/3101/8357/8878/8678/7335/598/10670/7311/9978/7314/5296/8517/10095/4303/10163/10097/375/81631/1399/8968",32
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","19/384","142/9410",0.133802816901408,3.27886590375587,5.64364401717395,4.65806473261628e-06,0.000409909696470232,0.000409909696470232,"6500/7328/7323/997/55236/6923/8451/9040/996/63893/7311/8925/9978/89910/7314/1642/84447/140739/9320",19
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","34/384","368/9410",0.0923913043478261,2.26406816123188,5.1021336707701,6.41959534060265e-06,0.000451939511978427,0.000451939511978427,"147700/311/22863/26100/347688/4695/6647/29979/8878/8678/310/5685/598/5606/506/5708/10476/9973/5686/10133/8021/514/4928/10383/10013/3181/2876/23130/847/4927/2878/65018/81631/8408",34
"Cellular Processes","Transport and catabolism","hsa04136","Autophagy - other","8/384","32/9410",0.25,6.12630208333333,5.99119908946897,3.17499170638531e-05,0.00186266180107938,0.00186266180107938,"115201/26100/11345/8678/79065/23710/23130/11337",8
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","9/384","42/9410",0.214285714285714,5.25111607142857,5.69500158156555,3.84739996012027e-05,0.00193469255137476,0.00193469255137476,"23305/5093/2729/7037/5094/2879/6520/8031/81631",9
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","36/384","480/9410",0.075,1.837890625,3.88661839943925,0.000283431560926336,0.0124709886807588,0.0124709886807588,"823/147700/5609/22863/6622/26100/347688/4695/6647/8878/8678/5685/598/5606/506/7311/5708/10476/369/9973/5686/10133/53349/514/7314/10383/2876/23130/847/2878/65018/1457/673/81631/8408/9927",36
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","15/384","133/9410",0.112781954887218,2.76374530075188,4.22520313827702,0.000329251687454392,0.0128773993315496,0.0128773993315496,"2309/11345/1647/6794/369/5296/5728/23710/4303/847/673/604/7874/5106/11337",15
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","8/384","46/9410",0.173913043478261,4.26177536231884,4.57395558555119,0.000477608243333984,0.0168118101653562,0.0168118101653562,"5498/3145/210/7389/645/7390/2235/212",8
"Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","16/384","158/9410",0.10126582278481,2.48154008438819,3.87359150338087,0.000708868054680869,0.0216130481982779,0.0216130481982779,"10325/55437/6199/201163/28956/9663/10670/6794/51382/5296/5728/6520/8140/8131/673/8408",16
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","17/384","175/9410",0.0971428571428571,2.38050595238095,3.80214381458159,0.000784999788452787,0.0216130481982779,0.0216130481982779,"6500/55432/823/7323/5609/7095/3300/29979/6048/9978/5886/80700/100128731/84447/55666/51009/267",17
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","25/384","308/9410",0.0811688311688312,1.98905911796537,3.64014660942529,0.000798209166413674,0.0216130481982779,0.0216130481982779,"1173/147700/1175/5609/22863/26100/9519/7052/347688/4695/6647/8678/5685/506/5708/10476/5686/514/10383/160/2876/23130/2878/1385/8408",25
"Metabolism","Glycan biosynthesis and metabolism","hsa00541","Biosynthesis of various nucleotide sugars","5/384","20/9410",0.25,6.12630208333333,4.7334313007936,0.0010285341581353,0.0258602874045448,0.0258602874045448,"51706/7264/55907/1727/80896",5
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","10/384","78/9410",0.128205128205128,3.14169337606838,3.91748111566332,0.00120117131947097,0.0281874869635854,0.0281874869635854,"5298/55361/8395/4952/5728/51763/9807/9562/5305/10423",10
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","10/384","83/9410",0.120481927710843,2.95243473895582,3.68497262541598,0.00193854526387436,0.0426479958052358,0.0426479958052358,"3661/51082/5093/1777/388372/81030/8517/10623/9560/55718",10
